# Force and moment coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 7.5000000e-01
# lRef         : 1.0000000e+00
# Aref         : 1.0000000e-02
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cd(f)          	Cd(r)          	Cl             	Cl(f)          	Cl(r)          	CmPitch        	CmRoll         	CmYaw          	Cs             	Cs(f)          	Cs(r)          
1              	5.6354814e+01	2.8657314e+01	2.7697501e+01	-9.5981275e+01	-4.7896326e+01	-4.8084949e+01	9.4311333e-02	4.7990637e-01	2.8177407e-01	-1.5903913e-20	2.8177407e-01	-2.8177407e-01
2              	6.8516567e+01	3.4841711e+01	3.3674856e+01	-1.1668548e+02	-5.8352474e+01	-5.8333002e+01	-9.7362640e-03	5.8342738e-01	3.4258284e-01	2.4473351e-19	3.4258284e-01	-3.4258284e-01
3              	5.5285770e+01	2.8113096e+01	2.7172674e+01	-9.4042199e+01	-4.7238457e+01	-4.6803742e+01	-2.1735739e-01	4.7021100e-01	2.7642885e-01	3.7746368e-19	2.7642885e-01	-2.7642885e-01
4              	3.2180569e+01	1.6363099e+01	1.5817470e+01	-5.4562973e+01	-2.7801276e+01	-2.6761696e+01	-5.1978979e-01	2.7281486e-01	1.6090285e-01	2.2682004e-19	1.6090285e-01	-1.6090285e-01
5              	7.8826969e+00	4.0067270e+00	3.8759700e+00	-1.3075699e+01	-7.3638513e+00	-5.7118481e+00	-8.2600159e-01	6.5378497e-02	3.9413485e-02	2.9211435e-19	3.9413485e-02	-3.9413485e-02
6              	-1.1579182e+01	-5.8901107e+00	-5.6890713e+00	2.0103942e+01	9.0200430e+00	1.1083899e+01	-1.0319280e+00	-1.0051971e-01	-5.7895910e-02	1.2536556e-19	-5.7895910e-02	5.7895910e-02
7              	-2.2090218e+01	-1.1234952e+01	-1.0855267e+01	3.7968533e+01	1.7937581e+01	2.0030952e+01	-1.0466854e+00	-1.8984267e-01	-1.1045109e-01	1.3837051e-18	-1.1045109e-01	1.1045109e-01
8              	-2.2909906e+01	-1.1651293e+01	-1.1258613e+01	3.9268024e+01	1.8768254e+01	2.0499769e+01	-8.6575739e-01	-1.9634012e-01	-1.1454953e-01	4.5072629e-19	-1.1454953e-01	1.1454953e-01
9              	-1.6826294e+01	-8.5570818e+00	-8.2692119e+00	2.8786996e+01	1.3830939e+01	1.4956058e+01	-5.6255937e-01	-1.4393498e-01	-8.4131468e-02	3.6189267e-19	-8.4131468e-02	8.4131468e-02
10             	-7.5691512e+00	-3.8492698e+00	-3.7198814e+00	1.2938843e+01	6.2288529e+00	6.7099902e+00	-2.4056865e-01	-6.4694215e-02	-3.7845756e-02	1.8178079e-19	-3.7845756e-02	3.7845756e-02
