# Force and moment coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 7.5000000e-01
# lRef         : 1.0000000e+00
# Aref         : 1.0000000e-02
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cd(f)          	Cd(r)          	Cl             	Cl(f)          	Cl(r)          	CmPitch        	CmRoll         	CmYaw          	Cs             	Cs(f)          	Cs(r)          
1              	9.3864299e+01	4.7731642e+01	4.6132656e+01	-1.5989859e+02	-7.9959866e+01	-7.9938719e+01	-1.0573665e-02	7.9949293e-01	4.6932149e-01	-2.2591803e-19	4.6932149e-01	-4.6932149e-01
2              	1.1199565e+02	5.6952378e+01	5.5043274e+01	-1.9091043e+02	-9.5741438e+01	-9.5168987e+01	-2.8622556e-01	9.5455213e-01	5.5997826e-01	1.2839379e-18	5.5997826e-01	-5.5997826e-01
3              	8.8708086e+01	4.5109565e+01	4.3598521e+01	-1.5110436e+02	-7.6091851e+01	-7.5012505e+01	-5.3967280e-01	7.5552178e-01	4.4354043e-01	2.1003328e-18	4.4354043e-01	-4.4354043e-01
4              	5.1358863e+01	2.6116098e+01	2.5242766e+01	-8.7333215e+01	-4.4499320e+01	-4.2833895e+01	-8.3271246e-01	4.3666608e-01	2.5679432e-01	9.9766420e-19	2.5679432e-01	-2.5679432e-01
5              	1.2063273e+01	6.1328033e+00	5.9304700e+00	-2.0233329e+01	-1.1351082e+01	-8.8822469e+00	-1.2344176e+00	1.0116665e-01	6.0316366e-02	7.4278777e-19	6.0316366e-02	-6.0316366e-02
6              	-1.9894038e+01	-1.0118603e+01	-9.7754351e+00	3.4316814e+01	1.5632810e+01	1.8684004e+01	-1.5255966e+00	-1.7158407e-01	-9.9470192e-02	6.4569153e-19	-9.9470192e-02	9.9470192e-02
7              	-3.6923891e+01	-1.8778624e+01	-1.8145267e+01	6.3335672e+01	3.0272752e+01	3.3062920e+01	-1.3950843e+00	-3.1667836e-01	-1.8461945e-01	-2.2016333e-19	-1.8461945e-01	1.8461945e-01
8              	-3.7851348e+01	-1.9249748e+01	-1.8601601e+01	6.4814707e+01	3.1360132e+01	3.3454575e+01	-1.0472212e+00	-3.2407353e-01	-1.8925674e-01	-1.0295242e-18	-1.8925674e-01	1.8925674e-01
9              	-2.7531690e+01	-1.4001472e+01	-1.3530219e+01	4.7125283e+01	2.2973819e+01	2.4151464e+01	-5.8882224e-01	-2.3562642e-01	-1.3765845e-01	-1.4775177e-18	-1.3765845e-01	1.3765845e-01
10             	-1.2308226e+01	-6.2595096e+00	-6.0487167e+00	2.1079287e+01	1.0399457e+01	1.0679831e+01	-1.4018692e-01	-1.0539644e-01	-6.1541132e-02	-1.2901567e-18	-6.1541132e-02	6.1541132e-02
11             	2.2790883e+00	1.1587967e+00	1.1202916e+00	-3.8505145e+00	-1.7600282e+00	-2.0904862e+00	1.6522902e-01	1.9252572e-02	1.1395441e-02	-8.1374343e-19	1.1395441e-02	-1.1395441e-02
12             	1.2545513e+01	6.3796059e+00	6.1659067e+00	-2.1369914e+01	-1.0417905e+01	-1.0952009e+01	2.6705181e-01	1.0684957e-01	6.2727563e-02	-2.9771928e-19	6.2727563e-02	-6.2727563e-02
13             	1.6362018e+01	8.3202779e+00	8.0417404e+00	-2.7853752e+01	-1.3762231e+01	-1.4091521e+01	1.6464497e-01	1.3926876e-01	8.1810092e-02	2.9266880e-19	8.1810092e-02	-8.1810092e-02
14             	1.4497763e+01	7.3720513e+00	7.1257120e+00	-2.4633928e+01	-1.2376956e+01	-1.2256972e+01	-5.9991780e-02	1.2316964e-01	7.2488817e-02	2.8101204e-19	7.2488817e-02	-7.2488817e-02
15             	9.2343432e+00	4.6952639e+00	4.5390793e+00	-1.5618463e+01	-8.1236079e+00	-7.4948548e+00	-3.1437657e-01	7.8092314e-02	4.6171716e-02	-5.6572385e-20	4.6171716e-02	-4.6171716e-02
16             	3.0850372e+00	1.5680460e+00	1.5169912e+00	-5.1054831e+00	-3.0765387e+00	-2.0289444e+00	-5.2379714e-01	2.5527415e-02	1.5425186e-02	-4.2849505e-19	1.5425186e-02	-1.5425186e-02
17             	-2.0067370e+00	-1.0213180e+00	-9.8541901e-01	3.5898968e+00	1.1562758e+00	2.4336210e+00	-6.3867260e-01	-1.7949484e-02	-1.0033685e-02	-6.6811418e-19	-1.0033685e-02	1.0033685e-02
18             	-5.0142968e+00	-2.5507260e+00	-2.4635708e+00	8.7155121e+00	3.7125595e+00	5.0029526e+00	-6.4519653e-01	-4.3577560e-02	-2.5071484e-02	-9.0454249e-19	-2.5071484e-02	2.5071484e-02
19             	-5.5096266e+00	-2.8025351e+00	-2.7070915e+00	9.5443618e+00	4.2194885e+00	5.3248733e+00	-5.5269241e-01	-4.7721809e-02	-2.7548133e-02	-9.7454301e-19	-2.7548133e-02	2.7548133e-02
20             	-4.0939298e+00	-2.0825165e+00	-2.0114133e+00	7.1103150e+00	3.1434071e+00	3.9669079e+00	-4.1175037e-01	-3.5551575e-02	-2.0469649e-02	-9.7457696e-19	-2.0469649e-02	2.0469649e-02
21             	-1.7450312e+00	-8.8794756e-01	-8.5708361e-01	3.0863947e+00	1.2709258e+00	1.8154689e+00	-2.7227154e-01	-1.5431973e-02	-8.7251558e-03	-9.7343071e-19	-8.7251558e-03	8.7251558e-03
22             	5.8332507e-01	2.9615469e-01	2.8717038e-01	-8.9843045e-01	-6.2553386e-01	-2.7289658e-01	-1.7631864e-01	4.4921522e-03	2.9166254e-03	-8.0788591e-19	2.9166254e-03	-2.9166254e-03
23             	2.3096422e+00	1.1740870e+00	1.1355552e+00	-3.8531742e+00	-2.0666957e+00	-1.7864786e+00	-1.4010854e-01	1.9265871e-02	1.1548211e-02	-7.2167019e-19	1.1548211e-02	-1.1548211e-02
24             	3.0993788e+00	1.5757292e+00	1.5236495e+00	-5.2079706e+00	-2.7646347e+00	-2.4433359e+00	-1.6064939e-01	2.6039853e-02	1.5496894e-02	-6.5492113e-19	1.5496894e-02	-1.5496894e-02
25             	2.9745749e+00	1.5122940e+00	1.4622810e+00	-5.0012996e+00	-2.7164555e+00	-2.2848441e+00	-2.1580574e-01	2.5006498e-02	1.4872875e-02	-6.9344818e-19	1.4872875e-02	-1.4872875e-02
26             	2.2507841e+00	1.1442470e+00	1.1065371e+00	-3.7709873e+00	-2.1666435e+00	-1.6043437e+00	-2.8114990e-01	1.8854936e-02	1.1253920e-02	-8.4492765e-19	1.1253920e-02	-1.1253920e-02
27             	1.3213352e+00	6.7161292e-01	6.4972224e-01	-2.1890677e+00	-1.4303266e+00	-7.5874107e-01	-3.3579278e-01	1.0945338e-02	6.6066758e-03	-9.2503894e-19	6.6066758e-03	-6.6066758e-03
28             	5.0914094e-01	2.5860913e-01	2.5053181e-01	-8.0773171e-01	-7.7340417e-01	-3.4327537e-02	-3.6953832e-01	4.0386585e-03	2.5457047e-03	-1.0619247e-18	2.5457047e-03	-2.5457047e-03
29             	-1.1751671e-02	-6.2549693e-03	-5.4967016e-03	7.5826773e-02	-3.4345980e-01	4.1928658e-01	-3.8137319e-01	-3.7913386e-04	-5.8758354e-05	-1.1276066e-18	-5.8758354e-05	5.8758354e-05
30             	-1.7727250e-01	-9.0401297e-02	-8.6871205e-02	3.5300918e-01	-1.9509870e-01	5.4810788e-01	-3.7160329e-01	-1.7650459e-03	-8.8636251e-04	-1.1155680e-18	-8.8636251e-04	8.8636251e-04
31             	-4.0584232e-02	-2.0866851e-02	-1.9717380e-02	1.1494712e-01	-2.8922679e-01	4.0417391e-01	-3.4670035e-01	-5.7473560e-04	-2.0292116e-04	-1.1107832e-18	-2.0292116e-04	2.0292116e-04
32             	2.7223740e-01	1.3823424e-01	1.3400316e-01	-4.2310772e-01	-5.2970306e-01	1.0659534e-01	-3.1814920e-01	2.1155386e-03	1.3611870e-03	-1.0846540e-18	1.3611870e-03	-1.3611870e-03
33             	6.1946417e-01	3.1483200e-01	3.0463217e-01	-1.0199835e+00	-8.0703084e-01	-2.1295264e-01	-2.9703910e-01	5.0999174e-03	3.0973209e-03	-1.0284511e-18	3.0973209e-03	-3.0973209e-03
34             	9.0094679e-01	4.5799312e-01	4.4295366e-01	-1.5039461e+00	-1.0394144e+00	-4.6453174e-01	-2.8744131e-01	7.5197305e-03	4.5047339e-03	-9.9066037e-19	4.5047339e-03	-4.5047339e-03
35             	1.0603272e+00	5.3905996e-01	5.2126722e-01	-1.7792741e+00	-1.1780917e+00	-6.0118240e-01	-2.8845465e-01	8.8963705e-03	5.3016359e-03	-9.3490103e-19	5.3016359e-03	-5.3016359e-03
36             	1.0878956e+00	5.5309602e-01	5.3479955e-01	-1.8296463e+00	-1.2113376e+00	-6.1830872e-01	-2.9651443e-01	9.1482314e-03	5.4394778e-03	-9.2408456e-19	5.4394778e-03	-5.4394778e-03
37             	1.0147557e+00	5.1592163e-01	4.9883411e-01	-1.7087515e+00	-1.1622280e+00	-5.4652349e-01	-3.0785225e-01	8.5437575e-03	5.0737787e-03	-9.1562634e-19	5.0737787e-03	-5.0737787e-03
38             	8.9099778e-01	4.5300734e-01	4.3799044e-01	-1.5016897e+00	-1.0699958e+00	-4.3169396e-01	-3.1915091e-01	7.5084487e-03	4.4549889e-03	-9.4111438e-19	4.4549889e-03	-4.4549889e-03
39             	7.6675029e-01	3.8983975e-01	3.7691054e-01	-1.2929204e+00	-9.7438850e-01	-3.1853194e-01	-3.2792828e-01	6.4646022e-03	3.8337515e-03	-9.6356519e-19	3.8337515e-03	-3.8337515e-03
40             	6.7572420e-01	3.4356052e-01	3.3216368e-01	-1.1396847e+00	-9.0311387e-01	-2.3657080e-01	-3.3327153e-01	5.6984233e-03	3.3786210e-03	-9.7300538e-19	3.3786210e-03	-3.3786210e-03
41             	6.3268541e-01	3.2168019e-01	3.1100522e-01	-1.0674971e+00	-8.6862605e-01	-1.9887108e-01	-3.3487748e-01	5.3374856e-03	3.1634271e-03	-9.6360262e-19	3.1634271e-03	-3.1634271e-03
42             	6.3430351e-01	3.2250722e-01	3.1179630e-01	-1.0710920e+00	-8.6936652e-01	-2.0172544e-01	-3.3382054e-01	5.3554598e-03	3.1715176e-03	-9.5461408e-19	3.1715176e-03	-3.1715176e-03
43             	6.6720524e-01	3.3924076e-01	3.2796448e-01	-1.1276283e+00	-8.9530394e-01	-2.3232436e-01	-3.3148979e-01	5.6381415e-03	3.3360262e-03	-9.3553791e-19	3.3360262e-03	-3.3360262e-03
44             	7.1278170e-01	3.6241840e-01	3.5036330e-01	-1.2055098e+00	-9.3229644e-01	-2.7321332e-01	-3.2954156e-01	6.0275488e-03	3.5639085e-03	-9.3988481e-19	3.5639085e-03	-3.5639085e-03
45             	7.5448639e-01	3.8362717e-01	3.7085922e-01	-1.2767944e+00	-9.6718017e-01	-3.0961420e-01	-3.2878298e-01	6.3839719e-03	3.7724320e-03	-9.1623405e-19	3.7724320e-03	-3.7724320e-03
46             	7.8187349e-01	3.9755648e-01	3.8431701e-01	-1.3239466e+00	-9.9141535e-01	-3.3253126e-01	-3.2944205e-01	6.6197331e-03	3.9093675e-03	-9.0351044e-19	3.9093675e-03	-3.9093675e-03
47             	7.9157664e-01	4.0249510e-01	3.8908154e-01	-1.3413560e+00	-1.0018668e+00	-3.3948919e-01	-3.3118880e-01	6.7067799e-03	3.9578832e-03	-8.9456272e-19	3.9578832e-03	-3.9578832e-03
48             	7.8606661e-01	3.9970026e-01	3.8636635e-01	-1.3333902e+00	-1.0001836e+00	-3.3320660e-01	-3.3348852e-01	6.6669512e-03	3.9303330e-03	-8.8960125e-19	3.9303330e-03	-3.9303330e-03
49             	7.7141445e-01	3.9225694e-01	3.7915751e-01	-1.3099433e+00	-9.9081172e-01	-3.1913155e-01	-3.3584008e-01	6.5497163e-03	3.8570722e-03	-8.8651903e-19	3.8570722e-03	-3.8570722e-03
