# Force and moment coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 7.5000000e-01
# lRef         : 1.0000000e+00
# Aref         : 1.0000000e-02
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cd(f)          	Cd(r)          	Cl             	Cl(f)          	Cl(r)          	CmPitch        	CmRoll         	CmYaw          	Cs             	Cs(f)          	Cs(r)          
12001          	6.7128235e-01	3.4126747e-01	3.3001489e-01	-1.1252581e+00	-6.7604660e-01	-4.4921151e-01	-1.1341755e-01	5.6262906e-03	3.3564118e-03	1.3223726e-18	3.3564118e-03	-3.3564118e-03
12002          	6.7198050e-01	3.4162244e-01	3.3035807e-01	-1.1264369e+00	-6.7656113e-01	-4.4987579e-01	-1.1334267e-01	5.6321846e-03	3.3599025e-03	1.3257924e-18	3.3599025e-03	-3.3599025e-03
12003          	6.7263824e-01	3.4195685e-01	3.3068140e-01	-1.1275448e+00	-6.7703881e-01	-4.5050599e-01	-1.1326641e-01	5.6377240e-03	3.3631912e-03	1.3292973e-18	3.3631912e-03	-3.3631912e-03
12004          	6.7326035e-01	3.4227313e-01	3.3098723e-01	-1.1285897e+00	-6.7748323e-01	-4.5110644e-01	-1.1318840e-01	5.6429483e-03	3.3663018e-03	1.3310595e-18	3.3663018e-03	-3.3663018e-03
12005          	6.7384314e-01	3.4256939e-01	3.3127375e-01	-1.1295643e+00	-6.7788989e-01	-4.5167446e-01	-1.1310772e-01	5.6478217e-03	3.3692157e-03	1.3340618e-18	3.3692157e-03	-3.3692157e-03
12006          	6.7438684e-01	3.4284576e-01	3.3154107e-01	-1.1304689e+00	-6.7825721e-01	-4.5221171e-01	-1.1302275e-01	5.6523446e-03	3.3719342e-03	1.3345405e-18	3.3719342e-03	-3.3719342e-03
12007          	6.7488050e-01	3.4309667e-01	3.3178383e-01	-1.1312844e+00	-6.7857405e-01	-4.5271031e-01	-1.1293187e-01	5.6564218e-03	3.3744025e-03	1.3312639e-18	3.3744025e-03	-3.3744025e-03
12008          	6.7534461e-01	3.4333253e-01	3.3201208e-01	-1.1320446e+00	-6.7885611e-01	-4.5318852e-01	-1.1283380e-01	5.6602232e-03	3.3767231e-03	1.3341958e-18	3.3767231e-03	-3.3767231e-03
12009          	6.7578262e-01	3.4355509e-01	3.3222753e-01	-1.1327556e+00	-6.7910644e-01	-4.5364920e-01	-1.1272862e-01	5.6637782e-03	3.3789131e-03	1.3393926e-18	3.3789131e-03	-3.3789131e-03
12010          	6.7620290e-01	3.4376861e-01	3.3243429e-01	-1.1334321e+00	-6.7933265e-01	-4.5409946e-01	-1.1261660e-01	5.6671605e-03	3.3810145e-03	1.3430060e-18	3.3810145e-03	-3.3810145e-03
12011          	6.7661318e-01	3.4397703e-01	3.3263615e-01	-1.1340875e+00	-6.7954292e-01	-4.5454459e-01	-1.1249917e-01	5.6704375e-03	3.3830659e-03	1.3457424e-18	3.3830659e-03	-3.3830659e-03
12012          	6.7701751e-01	3.4418240e-01	3.3283511e-01	-1.1347294e+00	-6.7974292e-01	-4.5498646e-01	-1.1237823e-01	5.6736469e-03	3.3850876e-03	1.3479479e-18	3.3850876e-03	-3.3850876e-03
12013          	6.7741045e-01	3.4438197e-01	3.3302848e-01	-1.1353487e+00	-6.7992994e-01	-4.5541876e-01	-1.1225559e-01	5.6767435e-03	3.3870523e-03	1.3495428e-18	3.3870523e-03	-3.3870523e-03
12014          	6.7778726e-01	3.4457332e-01	3.3321394e-01	-1.1359377e+00	-6.8010264e-01	-4.5583506e-01	-1.1213379e-01	5.6796885e-03	3.3889363e-03	1.3518456e-18	3.3889363e-03	-3.3889363e-03
12015          	6.7814800e-01	3.4475649e-01	3.3339151e-01	-1.1364973e+00	-6.8026445e-01	-4.5623285e-01	-1.1201580e-01	5.6824865e-03	3.3907400e-03	1.3562550e-18	3.3907400e-03	-3.3907400e-03
12016          	6.7848749e-01	3.4492885e-01	3.3355865e-01	-1.1370200e+00	-6.8041561e-01	-4.5660441e-01	-1.1190560e-01	5.6851001e-03	3.3924375e-03	1.3625725e-18	3.3924375e-03	-3.3924375e-03
12017          	6.7879906e-01	3.4508700e-01	3.3371205e-01	-1.1374949e+00	-6.8055091e-01	-4.5694403e-01	-1.1180344e-01	5.6874747e-03	3.3939953e-03	1.3651348e-18	3.3939953e-03	-3.3939953e-03
12018          	6.7908964e-01	3.4523449e-01	3.3385515e-01	-1.1379338e+00	-6.8067587e-01	-4.5725791e-01	-1.1170898e-01	5.6896689e-03	3.3954482e-03	1.3691734e-18	3.3954482e-03	-3.3954482e-03
12019          	6.7936762e-01	3.4537556e-01	3.3399206e-01	-1.1383504e+00	-6.8079473e-01	-4.5755565e-01	-1.1161954e-01	5.6917519e-03	3.3968381e-03	1.3640620e-18	3.3968381e-03	-3.3968381e-03
12020          	6.7964552e-01	3.4551659e-01	3.3412893e-01	-1.1387656e+00	-6.8091503e-01	-4.5785055e-01	-1.1153224e-01	5.6938279e-03	3.3982276e-03	1.3683601e-18	3.3982276e-03	-3.3982276e-03
12021          	6.7993376e-01	3.4566287e-01	3.3427090e-01	-1.1391966e+00	-6.8104237e-01	-4.5815427e-01	-1.1144405e-01	5.6959832e-03	3.3996688e-03	1.3743664e-18	3.3996688e-03	-3.3996688e-03
12022          	6.8023979e-01	3.4581818e-01	3.3442161e-01	-1.1396567e+00	-6.8118208e-01	-4.5847457e-01	-1.1135375e-01	5.6982833e-03	3.4011989e-03	1.3793615e-18	3.4011989e-03	-3.4011989e-03
12023          	6.8056165e-01	3.4598154e-01	3.3458011e-01	-1.1401430e+00	-6.8133311e-01	-4.5880984e-01	-1.1126164e-01	5.7007148e-03	3.4028083e-03	1.3890343e-18	3.4028083e-03	-3.4028083e-03
12024          	6.8089664e-01	3.4615158e-01	3.3474507e-01	-1.1406512e+00	-6.8149455e-01	-4.5915669e-01	-1.1116893e-01	5.7032562e-03	3.4044832e-03	1.3957431e-18	3.4044832e-03	-3.4044832e-03
12025          	6.8124430e-01	3.4632806e-01	3.3491625e-01	-1.1411814e+00	-6.8166838e-01	-4.5951304e-01	-1.1107767e-01	5.7059071e-03	3.4062215e-03	1.3974467e-18	3.4062215e-03	-3.4062215e-03
12026          	6.8160005e-01	3.4650866e-01	3.3509139e-01	-1.1417267e+00	-6.8185298e-01	-4.5987377e-01	-1.1098961e-01	5.7086337e-03	3.4080002e-03	1.4032030e-18	3.4080002e-03	-3.4080002e-03
12027          	6.8195187e-01	3.4668727e-01	3.3526460e-01	-1.1422675e+00	-6.8203959e-01	-4.6022796e-01	-1.1090581e-01	5.7113377e-03	3.4097594e-03	1.4093236e-18	3.4097594e-03	-3.4097594e-03
12028          	6.8229086e-01	3.4685937e-01	3.3543149e-01	-1.1427885e+00	-6.8221984e-01	-4.6056862e-01	-1.1082561e-01	5.7139423e-03	3.4114543e-03	1.4145586e-18	3.4114543e-03	-3.4114543e-03
12029          	6.8261160e-01	3.4702220e-01	3.3558940e-01	-1.1432808e+00	-6.8239089e-01	-4.6088989e-01	-1.1075050e-01	5.7164039e-03	3.4130580e-03	1.4194242e-18	3.4130580e-03	-3.4130580e-03
12030          	6.8289692e-01	3.4716703e-01	3.3572989e-01	-1.1437144e+00	-6.8253775e-01	-4.6117667e-01	-1.1068054e-01	5.7185721e-03	3.4144846e-03	1.4246306e-18	3.4144846e-03	-3.4144846e-03
12031          	6.8313991e-01	3.4729034e-01	3.3584957e-01	-1.1440769e+00	-6.8265348e-01	-4.6142347e-01	-1.1061501e-01	5.7203847e-03	3.4156996e-03	1.4193523e-18	3.4156996e-03	-3.4156996e-03
12032          	6.8335634e-01	3.4740014e-01	3.3595620e-01	-1.1443942e+00	-6.8274940e-01	-4.6164479e-01	-1.1055230e-01	5.7219709e-03	3.4167817e-03	1.4187674e-18	3.4167817e-03	-3.4167817e-03
12033          	6.8351638e-01	3.4748126e-01	3.3603512e-01	-1.1446147e+00	-6.8279800e-01	-4.6181670e-01	-1.1049065e-01	5.7230735e-03	3.4175819e-03	1.4222241e-18	3.4175819e-03	-3.4175819e-03
12034          	6.8361742e-01	3.4753238e-01	3.3608505e-01	-1.1447329e+00	-6.8279488e-01	-4.6193807e-01	-1.1042841e-01	5.7236647e-03	3.4180871e-03	1.4262591e-18	3.4180871e-03	-3.4180871e-03
12035          	6.8366458e-01	3.4755608e-01	3.3610850e-01	-1.1447575e+00	-6.8274336e-01	-4.6201410e-01	-1.1036463e-01	5.7237873e-03	3.4183229e-03	1.4306462e-18	3.4183229e-03	-3.4183229e-03
12036          	6.8366955e-01	3.4755832e-01	3.3611123e-01	-1.1447082e+00	-6.8265297e-01	-4.6205523e-01	-1.1029887e-01	5.7235410e-03	3.4183477e-03	1.4353530e-18	3.4183477e-03	-3.4183477e-03
12037          	6.8364101e-01	3.4754351e-01	3.3609750e-01	-1.1446003e+00	-6.8253213e-01	-4.6206814e-01	-1.1023200e-01	5.7230014e-03	3.4182050e-03	1.4355865e-18	3.4182050e-03	-3.4182050e-03
12038          	6.8359555e-01	3.4752009e-01	3.3607546e-01	-1.1444629e+00	-6.8239700e-01	-4.6206587e-01	-1.1016557e-01	5.7223144e-03	3.4179778e-03	1.4354252e-18	3.4179778e-03	-3.4179778e-03
12039          	6.8354990e-01	3.4749658e-01	3.3605332e-01	-1.1443257e+00	-6.8226502e-01	-4.6206067e-01	-1.1010218e-01	5.7216284e-03	3.4177495e-03	1.4357994e-18	3.4177495e-03	-3.4177495e-03
12040          	6.8351120e-01	3.4747661e-01	3.3603459e-01	-1.1442020e+00	-6.8214496e-01	-4.6205702e-01	-1.1004397e-01	5.7210099e-03	3.4175560e-03	1.4346445e-18	3.4175560e-03	-3.4175560e-03
12041          	6.8348210e-01	3.4746154e-01	3.3602057e-01	-1.1440968e+00	-6.8203986e-01	-4.6205692e-01	-1.0999147e-01	5.7204839e-03	3.4174105e-03	1.4315208e-18	3.4174105e-03	-3.4174105e-03
12042          	6.8345603e-01	3.4744801e-01	3.3600802e-01	-1.1439987e+00	-6.8194403e-01	-4.6205464e-01	-1.0994470e-01	5.7199934e-03	3.4172802e-03	1.4312135e-18	3.4172802e-03	-3.4172802e-03
12043          	6.8343183e-01	3.4743544e-01	3.3599639e-01	-1.1439053e+00	-6.8185543e-01	-4.6204986e-01	-1.0990279e-01	5.7195264e-03	3.4171591e-03	1.4327245e-18	3.4171591e-03	-3.4171591e-03
12044          	6.8340959e-01	3.4742388e-01	3.3598571e-01	-1.1438163e+00	-6.8177236e-01	-4.6204393e-01	-1.0986422e-01	5.7190814e-03	3.4170480e-03	1.4389332e-18	3.4170480e-03	-3.4170480e-03
12045          	6.8338508e-01	3.4741116e-01	3.3597392e-01	-1.1437237e+00	-6.8168912e-01	-4.6203455e-01	-1.0982729e-01	5.7186184e-03	3.4169254e-03	1.4405070e-18	3.4169254e-03	-3.4169254e-03
12046          	6.8335576e-01	3.4739599e-01	3.3595977e-01	-1.1436227e+00	-6.8160266e-01	-4.6202003e-01	-1.0979132e-01	5.7181134e-03	3.4167788e-03	1.4396925e-18	3.4167788e-03	-3.4167788e-03
12047          	6.8331117e-01	3.4737306e-01	3.3593811e-01	-1.1434948e+00	-6.8150245e-01	-4.6199238e-01	-1.0975504e-01	5.7174741e-03	3.4165559e-03	1.4374759e-18	3.4165559e-03	-3.4165559e-03
12048          	6.8323153e-01	3.4733229e-01	3.3589923e-01	-1.1433056e+00	-6.8137049e-01	-4.6193511e-01	-1.0971769e-01	5.7165280e-03	3.4161576e-03	1.4339042e-18	3.4161576e-03	-3.4161576e-03
12049          	6.8310832e-01	3.4726936e-01	3.3583896e-01	-1.1430400e+00	-6.8120009e-01	-4.6183988e-01	-1.0968010e-01	5.7151999e-03	3.4155416e-03	1.4319544e-18	3.4155416e-03	-3.4155416e-03
12050          	6.8293766e-01	3.4718229e-01	3.3575537e-01	-1.1426923e+00	-6.8099096e-01	-4.6170129e-01	-1.0964483e-01	5.7134613e-03	3.4146883e-03	1.4232170e-18	3.4146883e-03	-3.4146883e-03
12051          	6.8272714e-01	3.4707495e-01	3.3565219e-01	-1.1422752e+00	-6.8074900e-01	-4.6152619e-01	-1.0961141e-01	5.7113759e-03	3.4136357e-03	1.4251020e-18	3.4136357e-03	-3.4136357e-03
12052          	6.8247298e-01	3.4694541e-01	3.3552758e-01	-1.1417830e+00	-6.8047273e-01	-4.6131027e-01	-1.0958123e-01	5.7089150e-03	3.4123649e-03	1.4310051e-18	3.4123649e-03	-3.4123649e-03
12053          	6.8217062e-01	3.4679135e-01	3.3537926e-01	-1.1412087e+00	-6.8015982e-01	-4.6104885e-01	-1.0955549e-01	5.7060434e-03	3.4108531e-03	1.4387433e-18	3.4108531e-03	-3.4108531e-03
12054          	6.8181984e-01	3.4661268e-01	3.3520715e-01	-1.1405528e+00	-6.7981176e-01	-4.6074101e-01	-1.0953537e-01	5.7027638e-03	3.4090992e-03	1.4360165e-18	3.4090992e-03	-3.4090992e-03
12055          	6.8142551e-01	3.4641188e-01	3.3501364e-01	-1.1398239e+00	-6.7943281e-01	-4.6039112e-01	-1.0952085e-01	5.6991196e-03	3.4071276e-03	1.4335721e-18	3.4071276e-03	-3.4071276e-03
12056          	6.8099704e-01	3.4619371e-01	3.3480333e-01	-1.1390381e+00	-6.7903016e-01	-4.6000792e-01	-1.0951112e-01	5.6951904e-03	3.4049852e-03	1.4340494e-18	3.4049852e-03	-3.4049852e-03
12057          	6.8054713e-01	3.4596465e-01	3.3458248e-01	-1.1382171e+00	-6.7861344e-01	-4.5960369e-01	-1.0950487e-01	5.6910857e-03	3.4027356e-03	1.4411382e-18	3.4027356e-03	-3.4027356e-03
12058          	6.8008788e-01	3.4573084e-01	3.3435704e-01	-1.1373810e+00	-6.7819104e-01	-4.5918993e-01	-1.0950056e-01	5.6869048e-03	3.4004394e-03	1.4375715e-18	3.4004394e-03	-3.4004394e-03
12059          	6.7962682e-01	3.4549612e-01	3.3413070e-01	-1.1365419e+00	-6.7776813e-01	-4.5877377e-01	-1.0949718e-01	5.6827095e-03	3.3981341e-03	1.4362455e-18	3.3981341e-03	-3.3981341e-03
12060          	6.7916808e-01	3.4526257e-01	3.3390551e-01	-1.1357068e+00	-6.7734764e-01	-4.5835915e-01	-1.0949424e-01	5.6785339e-03	3.3958404e-03	1.4296593e-18	3.3958404e-03	-3.3958404e-03
12061          	6.7870938e-01	3.4502905e-01	3.3368033e-01	-1.1348714e+00	-6.7692758e-01	-4.5794383e-01	-1.0949187e-01	5.6743571e-03	3.3935469e-03	1.4259340e-18	3.3935469e-03	-3.3935469e-03
12062          	6.7824969e-01	3.4479501e-01	3.3345467e-01	-1.1340340e+00	-6.7650780e-01	-4.5752623e-01	-1.0949079e-01	5.6701701e-03	3.3912484e-03	1.4225017e-18	3.3912484e-03	-3.3912484e-03
12063          	6.7778624e-01	3.4455907e-01	3.3322717e-01	-1.1331902e+00	-6.7608750e-01	-4.5710269e-01	-1.0949240e-01	5.6659509e-03	3.3889312e-03	1.4211829e-18	3.3889312e-03	-3.3889312e-03
12064          	6.7731398e-01	3.4431865e-01	3.3299534e-01	-1.1323310e+00	-6.7566422e-01	-4.5666680e-01	-1.0949871e-01	5.6616551e-03	3.3865699e-03	1.4210841e-18	3.3865699e-03	-3.3865699e-03
12065          	6.7683697e-01	3.4407580e-01	3.3276116e-01	-1.1314642e+00	-6.7524290e-01	-4.5622134e-01	-1.0951078e-01	5.6573212e-03	3.3841848e-03	1.4228325e-18	3.3841848e-03	-3.3841848e-03
12066          	6.7634014e-01	3.4382289e-01	3.3251725e-01	-1.1305641e+00	-6.7481119e-01	-4.5575293e-01	-1.0952913e-01	5.6528206e-03	3.3817007e-03	1.4344478e-18	3.3817007e-03	-3.3817007e-03
12067          	6.7581396e-01	3.4355505e-01	3.3225891e-01	-1.1296146e+00	-6.7436188e-01	-4.5525271e-01	-1.0955459e-01	5.6480730e-03	3.3790698e-03	1.4363681e-18	3.3790698e-03	-3.3790698e-03
12068          	6.7524897e-01	3.4326748e-01	3.3198149e-01	-1.1285992e+00	-6.7388638e-01	-4.5471280e-01	-1.0958679e-01	5.6429959e-03	3.3762448e-03	1.4365334e-18	3.3762448e-03	-3.3762448e-03
12069          	6.7463794e-01	3.4295650e-01	3.3168144e-01	-1.1275055e+00	-6.7337703e-01	-4.5412845e-01	-1.0962429e-01	5.6375274e-03	3.3731897e-03	1.4373298e-18	3.3731897e-03	-3.3731897e-03
12070          	6.7397963e-01	3.4262147e-01	3.3135816e-01	-1.1263310e+00	-6.7283140e-01	-4.5349962e-01	-1.0966589e-01	5.6316551e-03	3.3698981e-03	1.4508143e-18	3.3698981e-03	-3.3698981e-03
12071          	6.7327977e-01	3.4226531e-01	3.3101446e-01	-1.1250857e+00	-6.7225428e-01	-4.5283139e-01	-1.0971144e-01	5.6254284e-03	3.3663989e-03	1.4370816e-18	3.3663989e-03	-3.3663989e-03
12072          	6.7255424e-01	3.4189611e-01	3.3065814e-01	-1.1237969e+00	-6.7165924e-01	-4.5213765e-01	-1.0976080e-01	5.6189844e-03	3.3627712e-03	1.4380536e-18	3.3627712e-03	-3.3627712e-03
12073          	6.7178930e-01	3.4150686e-01	3.3028244e-01	-1.1224413e+00	-6.7103535e-01	-4.5140592e-01	-1.0981472e-01	5.6122063e-03	3.3589465e-03	1.4351267e-18	3.3589465e-03	-3.3589465e-03
12074          	6.7102456e-01	3.4111772e-01	3.2990685e-01	-1.1210869e+00	-6.7041585e-01	-4.5067109e-01	-1.0987238e-01	5.6054347e-03	3.3551228e-03	1.4273845e-18	3.3551228e-03	-3.3551228e-03
12075          	6.7027097e-01	3.4073425e-01	3.2953672e-01	-1.1197530e+00	-6.6980996e-01	-4.4994300e-01	-1.0993348e-01	5.5987648e-03	3.3513549e-03	1.4298703e-18	3.3513549e-03	-3.3513549e-03
12076          	6.6953321e-01	3.4035884e-01	3.2917437e-01	-1.1184471e+00	-6.6922117e-01	-4.4922591e-01	-1.0999763e-01	5.5922354e-03	3.3476660e-03	1.4321957e-18	3.3476660e-03	-3.3476660e-03
12077          	6.6881262e-01	3.3999217e-01	3.2882045e-01	-1.1171713e+00	-6.6865028e-01	-4.4852102e-01	-1.1006463e-01	5.5858565e-03	3.3440631e-03	1.4350505e-18	3.3440631e-03	-3.3440631e-03
12078          	6.6810645e-01	3.3963283e-01	3.2847362e-01	-1.1159208e+00	-6.6809523e-01	-4.4782556e-01	-1.1013484e-01	5.5796040e-03	3.3405323e-03	1.4357844e-18	3.3405323e-03	-3.3405323e-03
12079          	6.6740695e-01	3.3927689e-01	3.2813006e-01	-1.1146825e+00	-6.6755060e-01	-4.4713191e-01	-1.1020934e-01	5.5734125e-03	3.3370347e-03	1.4461191e-18	3.3370347e-03	-3.3370347e-03
12080          	6.6669975e-01	3.3891703e-01	3.2778271e-01	-1.1134318e+00	-6.6700308e-01	-4.4642876e-01	-1.1028716e-01	5.5671592e-03	3.3334987e-03	1.4455928e-18	3.3334987e-03	-3.3334987e-03
12081          	6.6596778e-01	3.3854459e-01	3.2742319e-01	-1.1121397e+00	-6.6643774e-01	-4.4570196e-01	-1.1036789e-01	5.5606985e-03	3.3298389e-03	1.4251793e-18	3.3298389e-03	-3.3298389e-03
12082          	6.6519649e-01	3.3815215e-01	3.2704434e-01	-1.1107805e+00	-6.6583993e-01	-4.4494056e-01	-1.1044969e-01	5.5539024e-03	3.3259824e-03	1.4203491e-18	3.3259824e-03	-3.3259824e-03
12083          	6.6438308e-01	3.3773829e-01	3.2664479e-01	-1.1093493e+00	-6.6520586e-01	-4.4414340e-01	-1.1053123e-01	5.5467463e-03	3.3219154e-03	1.4136324e-18	3.3219154e-03	-3.3219154e-03
12084          	6.6352723e-01	3.3730284e-01	3.2622439e-01	-1.1078451e+00	-6.6453399e-01	-4.4331115e-01	-1.1061142e-01	5.5392257e-03	3.3176362e-03	1.4277520e-18	3.3176362e-03	-3.3176362e-03
12085          	6.6263486e-01	3.3684882e-01	3.2578604e-01	-1.1062776e+00	-6.6382765e-01	-4.4244998e-01	-1.1068884e-01	5.5313881e-03	3.3131743e-03	1.4354461e-18	3.3131743e-03	-3.3131743e-03
