# Force and moment coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 7.5000000e-01
# lRef         : 1.0000000e+00
# Aref         : 1.0000000e-02
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cd(f)          	Cd(r)          	Cl             	Cl(f)          	Cl(r)          	CmPitch        	CmRoll         	CmYaw          	Cs             	Cs(f)          	Cs(r)          
1              	2.9173491e+01	1.4835084e+01	1.4338407e+01	-4.9667684e+01	-2.4846396e+01	-2.4821288e+01	-1.2553952e-02	2.4833842e-01	1.4586746e-01	-1.8931025e-19	1.4586746e-01	-1.4586746e-01
2              	3.5615358e+01	1.8110533e+01	1.7504825e+01	-6.0570733e+01	-3.0465695e+01	-3.0105039e+01	-1.8032793e-01	3.0285367e-01	1.7807679e-01	-1.2563116e-18	1.7807679e-01	-1.7807679e-01
3              	2.9076342e+01	1.4784862e+01	1.4291480e+01	-4.9338233e+01	-2.5032785e+01	-2.4305448e+01	-3.6366868e-01	2.4669117e-01	1.4538171e-01	-2.2544176e-18	1.4538171e-01	-1.4538171e-01
4              	1.7052156e+01	8.6700131e+00	8.3821432e+00	-2.8786993e+01	-1.4968996e+01	-1.3817997e+01	-5.7549944e-01	1.4393497e-01	8.5260781e-02	-2.4946340e-18	8.5260781e-02	-8.5260781e-02
5              	4.1276362e+00	2.0974710e+00	2.0301652e+00	-6.7305819e+00	-4.2306517e+00	-2.4999302e+00	-8.6536072e-01	3.3652910e-02	2.0638181e-02	-3.8616858e-18	2.0638181e-02	-2.0638181e-02
6              	-5.9239185e+00	-3.0137824e+00	-2.9101361e+00	1.0364630e+01	4.1448270e+00	6.2198033e+00	-1.0374882e+00	-5.1823151e-02	-2.9619593e-02	-4.1066907e-18	-2.9619593e-02	2.9619593e-02
7              	-1.1198477e+01	-5.6956039e+00	-5.5028731e+00	1.9273081e+01	8.6495677e+00	1.0623513e+01	-9.8697284e-01	-9.6365405e-02	-5.5992385e-02	-4.0288425e-18	-5.5992385e-02	5.5992385e-02
8              	-1.1482766e+01	-5.8397410e+00	-5.6430251e+00	1.9671583e+01	9.0709359e+00	1.0600647e+01	-7.6485562e-01	-9.8357915e-02	-5.7413831e-02	-2.9689603e-18	-5.7413831e-02	5.7413831e-02
9              	-8.2539479e+00	-4.1975192e+00	-4.0564288e+00	1.4109041e+01	6.5993750e+00	7.5096659e+00	-4.5514545e-01	-7.0545204e-02	-4.1269740e-02	-1.4536747e-18	-4.1269740e-02	4.1269740e-02
10             	-3.4573486e+00	-1.7582113e+00	-1.6991373e+00	5.9073946e+00	2.8021465e+00	3.1052480e+00	-1.5155074e-01	-2.9536973e-02	-1.7286743e-02	-1.3967841e-19	-1.7286743e-02	1.7286743e-02
11             	1.1221327e+00	5.7058462e-01	5.5154808e-01	-1.9036542e+00	-9.0967503e-01	-9.9397918e-01	4.2152075e-02	9.5182710e-03	5.6106635e-03	5.3729921e-19	5.6106635e-03	-5.6106635e-03
12             	4.2542794e+00	2.1633599e+00	2.0909195e+00	-7.2440399e+00	-3.5068831e+00	-3.7371568e+00	1.1513682e-01	3.6220200e-02	2.1271397e-02	1.0854786e-18	2.1271397e-02	-2.1271397e-02
13             	5.4121856e+00	2.7521262e+00	2.6600593e+00	-9.2066882e+00	-4.5337023e+00	-4.6729858e+00	6.9641748e-02	4.6033441e-02	2.7060928e-02	6.3809186e-19	2.7060928e-02	-2.7060928e-02
14             	4.8881550e+00	2.4855583e+00	2.4025966e+00	-8.2961716e+00	-4.2040419e+00	-4.0921296e+00	-5.5956156e-02	4.1480858e-02	2.4440775e-02	3.0424795e-19	2.4440775e-02	-2.4440775e-02
15             	3.3625138e+00	1.7096337e+00	1.6528801e+00	-5.6753590e+00	-3.0570712e+00	-2.6182878e+00	-2.1939171e-01	2.8376795e-02	1.6812569e-02	-5.8938232e-19	1.6812569e-02	-1.6812569e-02
16             	1.5562219e+00	7.9099088e-01	7.6523098e-01	-2.5759896e+00	-1.6578751e+00	-9.1811450e-01	-3.6988028e-01	1.2879948e-02	7.7811093e-03	-1.1986888e-18	7.7811093e-03	-7.7811093e-03
17             	8.2554774e-02	4.1542804e-02	4.1011970e-02	-5.3083419e-02	-4.9996898e-01	4.4688556e-01	-4.7342727e-01	2.6541709e-04	4.1277387e-04	-1.4544093e-18	4.1277387e-04	-4.1277387e-04
18             	-7.8816246e-01	-4.0123859e-01	-3.8692387e-01	1.4314723e+00	2.0571134e-01	1.2257609e+00	-5.1002479e-01	-7.1573613e-03	-3.9408123e-03	-1.5603274e-18	-3.9408123e-03	3.9408123e-03
19             	-9.5402073e-01	-4.8553114e-01	-4.6848959e-01	1.7041546e+00	3.6397619e-01	1.3401784e+00	-4.8810110e-01	-8.5207729e-03	-4.7701037e-03	-1.5350860e-18	-4.7701037e-03	4.7701037e-03
20             	-5.8771459e-01	-2.9917318e-01	-2.8854141e-01	1.0631774e+00	1.0165490e-01	9.6152246e-01	-4.2993378e-01	-5.3158868e-03	-2.9385730e-03	-1.2814433e-18	-2.9385730e-03	2.9385730e-03
21             	4.5785639e-02	2.3065937e-02	2.2719702e-02	-3.4623450e-02	-3.8006177e-01	3.4543832e-01	-3.6275004e-01	1.7311725e-04	2.2892820e-04	-1.0666429e-18	2.2892820e-04	-2.2892820e-04
22             	6.8231824e-01	3.4683360e-01	3.3548464e-01	-1.1348964e+00	-8.7695027e-01	-2.5794612e-01	-3.0950208e-01	5.6744819e-03	3.4115912e-03	-9.1397855e-19	3.4115912e-03	-3.4115912e-03
23             	1.1488795e+00	5.8414949e-01	5.6473004e-01	-1.9419447e+00	-1.2523023e+00	-6.8964236e-01	-2.8132999e-01	9.7097235e-03	5.7443976e-03	-8.9474214e-19	5.7443976e-03	-5.7443976e-03
24             	1.3621477e+00	6.9264028e-01	6.6950746e-01	-2.3132818e+00	-1.4357041e+00	-8.7757763e-01	-2.7906324e-01	1.1566409e-02	6.8107387e-03	-9.2813466e-19	6.8107387e-03	-6.8107387e-03
25             	1.3372840e+00	6.8001887e-01	6.5726514e-01	-2.2753722e+00	-1.4329196e+00	-8.4245253e-01	-2.9523354e-01	1.1376861e-02	6.6864201e-03	-9.5917839e-19	6.6864201e-03	-6.6864201e-03
26             	1.1554456e+00	5.8756632e-01	5.6787932e-01	-1.9687000e+00	-1.3050298e+00	-6.6367019e-01	-3.2067980e-01	9.8434998e-03	5.7772282e-03	-1.0098637e-18	5.7772282e-03	-5.7772282e-03
27             	9.1805610e-01	4.6686339e-01	4.5119271e-01	-1.5670681e+00	-1.1289113e+00	-4.3815680e-01	-3.4537726e-01	7.8353406e-03	4.5902805e-03	-1.1845908e-18	4.5902805e-03	-4.5902805e-03
28             	7.1369922e-01	3.6295662e-01	3.5074260e-01	-1.2214024e+00	-9.7412391e-01	-2.4727847e-01	-3.6342272e-01	6.1070119e-03	3.5684961e-03	-1.2276076e-18	3.5684961e-03	-3.5684961e-03
29             	5.8900581e-01	2.9956277e-01	2.8944304e-01	-1.0119733e+00	-8.7744401e-01	-1.3452931e-01	-3.7145735e-01	5.0598666e-03	2.9450291e-03	-1.2305294e-18	2.9450291e-03	-2.9450291e-03
30             	5.5666277e-01	2.8313280e-01	2.7352997e-01	-9.6028321e-01	-8.4950274e-01	-1.1078047e-01	-3.6936114e-01	4.8014161e-03	2.7833138e-03	-1.2391450e-18	2.7833138e-03	-2.7833138e-03
31             	5.9892890e-01	3.0464717e-01	2.9428172e-01	-1.0365446e+00	-8.7839952e-01	-1.5814508e-01	-3.6012722e-01	5.1827230e-03	2.9946445e-03	-1.2180863e-18	2.9946445e-03	-2.9946445e-03
32             	6.8483825e-01	3.4835875e-01	3.3647950e-01	-1.1879254e+00	-9.4199358e-01	-2.4593180e-01	-3.4803089e-01	5.9396269e-03	3.4241913e-03	-1.1826559e-18	3.4241913e-03	-3.4241913e-03
33             	7.7958669e-01	3.9656676e-01	3.8301994e-01	-1.3546823e+00	-1.0143830e+00	-3.4029923e-01	-3.3704190e-01	6.7734113e-03	3.8979335e-03	-1.1184923e-18	3.8979335e-03	-3.8979335e-03
34             	8.5650035e-01	4.3570762e-01	4.2079273e-01	-1.4914895e+00	-1.0753638e+00	-4.1612572e-01	-3.2961903e-01	7.4574475e-03	4.2825017e-03	-1.0862820e-18	4.2825017e-03	-4.2825017e-03
35             	9.0233121e-01	4.5904290e-01	4.4328831e-01	-1.5754584e+00	-1.1144707e+00	-4.6098774e-01	-3.2674148e-01	7.8772922e-03	4.5116561e-03	-1.1056938e-18	4.5116561e-03	-4.5116561e-03
36             	9.1612237e-01	4.6608481e-01	4.5003755e-01	-1.6047262e+00	-1.1304525e+00	-4.7427364e-01	-3.2808944e-01	8.0236308e-03	4.5806118e-03	-1.0657968e-18	4.5806118e-03	-4.5806118e-03
37             	9.0481399e-01	4.6036175e-01	4.4445224e-01	-1.5909507e+00	-1.1283295e+00	-4.6262112e-01	-3.3285421e-01	7.9547533e-03	4.5240700e-03	-1.1010263e-18	4.5240700e-03	-4.5240700e-03
38             	8.8041914e-01	4.4798295e-01	4.3243619e-01	-1.5546768e+00	-1.1163261e+00	-4.3835076e-01	-3.3898766e-01	7.7733841e-03	4.4020957e-03	-1.1491162e-18	4.4020957e-03	-4.4020957e-03
39             	8.5438417e-01	4.3476762e-01	4.1961655e-01	-1.5151075e+00	-1.1028170e+00	-4.1229048e-01	-3.4526326e-01	7.5755374e-03	4.2719209e-03	-1.1401064e-18	4.2719209e-03	-4.2719209e-03
40             	8.3542238e-01	4.2514677e-01	4.1027562e-01	-1.4871149e+00	-1.0941401e+00	-3.9297476e-01	-3.5058267e-01	7.4355743e-03	4.1771119e-03	-1.1391114e-18	4.1771119e-03	-4.1771119e-03
41             	8.2699509e-01	4.2088022e-01	4.0611486e-01	-1.4765363e+00	-1.0927913e+00	-3.8374504e-01	-3.5452313e-01	7.3826817e-03	4.1349754e-03	-1.1653314e-18	4.1349754e-03	-4.1349754e-03
42             	8.2889311e-01	4.2186247e-01	4.0703064e-01	-1.4831827e+00	-1.0986958e+00	-3.8448684e-01	-3.5710449e-01	7.4159133e-03	4.1444655e-03	-1.1691118e-18	4.1444655e-03	-4.1444655e-03
43             	8.3857905e-01	4.2680394e-01	4.1177511e-01	-1.5028836e+00	-1.1101298e+00	-3.9275380e-01	-3.5868799e-01	7.5144178e-03	4.1928953e-03	-1.1749004e-18	4.1928953e-03	-4.1928953e-03
44             	8.5166383e-01	4.3347339e-01	4.1819044e-01	-1.5282956e+00	-1.1241569e+00	-4.0413865e-01	-3.6000914e-01	7.6414780e-03	4.2583192e-03	-1.1772104e-18	4.2583192e-03	-4.2583192e-03
45             	8.6424917e-01	4.3988946e-01	4.2435971e-01	-1.5529757e+00	-1.1380502e+00	-4.1492549e-01	-3.6156234e-01	7.7648783e-03	4.3212459e-03	-1.1703122e-18	4.3212459e-03	-4.3212459e-03
46             	8.7388234e-01	4.4480559e-01	4.2907675e-01	-1.5728844e+00	-1.1499720e+00	-4.2291240e-01	-3.6352980e-01	7.8644220e-03	4.3694117e-03	-1.1348346e-18	4.3694117e-03	-4.3694117e-03
47             	8.7835238e-01	4.4709857e-01	4.3125381e-01	-1.5844757e+00	-1.1577981e+00	-4.2667763e-01	-3.6556025e-01	7.9223787e-03	4.3917619e-03	-1.1213386e-18	4.3917619e-03	-4.3917619e-03
48             	8.7951760e-01	4.4771276e-01	4.3180484e-01	-1.5907922e+00	-1.1629485e+00	-4.2784368e-01	-3.6755240e-01	7.9539608e-03	4.3975880e-03	-1.1370323e-18	4.3975880e-03	-4.3975880e-03
49             	8.7940721e-01	4.4767897e-01	4.3172823e-01	-1.5950740e+00	-1.1670082e+00	-4.2806581e-01	-3.6947120e-01	7.9753701e-03	4.3970360e-03	-1.1400908e-18	4.3970360e-03	-4.3970360e-03
